pair_id,sign_a,sign_b,level,overall,chemistry,emotional,communication,values,stability
aries_aries,aries,aries,M,77,77,75,81,77,77
aries_tauro,aries,tauro,R,57,57,61,61,60,61
aries_geminis,aries,géminis,A,92,94,91,97,92,92
aries_cancer,aries,cáncer,R,65,61,69,69,65,61
aries_leo,aries,leo,A,86,90,86,92,88,88
aries_virgo,aries,virgo,R,56,56,60,60,59,60
aries_libra,aries,libra,M,80,94,76,84,80,78
aries_escorpio,aries,escorpio,R,56,56,60,60,59,56
aries_sagitario,aries,sagitario,A,91,95,91,97,93,93
aries_capricornio,aries,capricornio,R,64,60,68,68,64,64
aries_acuario,aries,acuario,A,86,88,85,91,86,86
aries_piscis,aries,piscis,R,69,69,73,73,72,69
tauro_aries,tauro,aries,R,63,63,67,67,66,67
tauro_tauro,tauro,tauro,M,75,75,79,73,78,79
tauro_geminis,tauro,géminis,M,72,72,76,76,75,76
tauro_cancer,tauro,cáncer,A,87,89,92,86,90,91
tauro_leo,tauro,leo,R,61,57,65,65,61,61
tauro_virgo,tauro,virgo,A,92,96,98,92,97,98
tauro_libra,tauro,libra,R,56,56,60,60,59,60
tauro_escorpio,tauro,escorpio,M,75,89,77,73,78,77
tauro_sagitario,tauro,sagitario,R,56,56,60,60,59,60
tauro_capricornio,tauro,capricornio,A,94,98,99,94,99,99
tauro_acuario,tauro,acuario,R,61,57,65,65,61,61
tauro_piscis,tauro,piscis,A,86,88,91,85,89,90
geminis_aries,géminis,aries,A,87,89,86,92,87,87
geminis_tauro,géminis,tauro,M,75,75,79,79,78,79
geminis_geminis,géminis,géminis,M,82,82,80,86,82,82
geminis_cancer,géminis,cáncer,R,65,65,69,69,68,65
geminis_leo,géminis,leo,A,86,88,85,91,86,86
geminis_virgo,géminis,virgo,R,64,60,68,68,64,64
geminis_libra,géminis,libra,A,92,96,92,98,94,94
geminis_escorpio,géminis,escorpio,R,55,55,59,59,58,55
geminis_sagitario,géminis,sagitario,M,75,83,71,79,75,73
geminis_capricornio,géminis,capricornio,R,55,55,59,59,58,59
geminis_acuario,géminis,acuario,A,94,98,94,99,96,96
geminis_piscis,géminis,piscis,R,68,64,72,72,68,64
cancer_aries,cáncer,aries,R,57,53,61,61,57,53
cancer_tauro,cáncer,tauro,A,90,92,95,89,93,94
cancer_geminis,cáncer,géminis,R,61,61,65,65,64,61
cancer_cancer,cáncer,cáncer,M,74,74,78,72,77,74
cancer_leo,cáncer,leo,M,80,80,84,84,83,80
cancer_virgo,cáncer,virgo,A,87,89,92,86,90,91
cancer_libra,cáncer,libra,R,64,60,68,68,64,60
cancer_escorpio,cáncer,escorpio,A,90,94,96,90,95,92
cancer_sagitario,cáncer,sagitario,R,63,63,67,67,66,63
cancer_capricornio,cáncer,capricornio,M,82,96,84,80,85,84
cancer_acuario,cáncer,acuario,R,57,57,61,61,60,57
cancer_piscis,cáncer,piscis,A,87,91,93,87,92,89
leo_aries,leo,aries,A,89,93,89,95,91,91
leo_tauro,leo,tauro,R,60,56,64,64,60,60
leo_geminis,leo,géminis,A,87,89,86,92,87,87
leo_cancer,leo,cáncer,M,80,80,84,84,83,80
leo_leo,leo,leo,M,83,83,81,87,83,83
leo_virgo,leo,virgo,R,56,56,60,60,59,60
leo_libra,leo,libra,A,86,88,85,91,86,86
leo_escorpio,leo,escorpio,R,64,60,68,68,64,60
leo_sagitario,leo,sagitario,A,89,93,89,95,91,91
leo_capricornio,leo,capricornio,R,62,62,66,66,65,66
leo_acuario,leo,acuario,M,82,96,78,86,82,80
leo_piscis,leo,piscis,R,63,63,67,67,66,63
virgo_aries,virgo,aries,R,61,61,65,65,64,65
virgo_tauro,virgo,tauro,A,91,95,97,91,96,97
virgo_geminis,virgo,géminis,R,62,58,66,66,62,62
virgo_cancer,virgo,cáncer,A,93,95,98,92,96,97
virgo_leo,virgo,leo,R,60,60,64,64,63,64
virgo_virgo,virgo,virgo,M,76,76,80,74,79,80
virgo_libra,virgo,libra,R,58,58,62,62,61,62
virgo_escorpio,virgo,escorpio,A,88,90,93,87,91,92
virgo_sagitario,virgo,sagitario,R,66,62,70,70,66,66
virgo_capricornio,virgo,capricornio,A,89,93,95,89,94,95
virgo_acuario,virgo,acuario,R,56,56,60,60,59,60
virgo_piscis,virgo,piscis,M,81,95,83,79,84,83
libra_aries,libra,aries,M,76,90,72,80,76,74
libra_tauro,libra,tauro,R,63,63,67,67,66,67
libra_geminis,libra,géminis,A,93,97,93,99,95,95
libra_cancer,libra,cáncer,R,69,65,73,73,69,65
libra_leo,libra,leo,A,91,93,90,96,91,91
libra_virgo,libra,virgo,R,66,66,70,70,69,70
libra_libra,libra,libra,M,79,79,77,83,79,79
libra_escorpio,libra,escorpio,R,59,59,63,63,62,59
libra_sagitario,libra,sagitario,A,87,89,86,92,87,87
libra_capricornio,libra,capricornio,R,56,52,60,60,56,56
libra_acuario,libra,acuario,A,94,98,94,99,96,96
libra_piscis,libra,piscis,R,61,61,65,65,64,61
escorpio_aries,escorpio,aries,R,57,57,61,61,60,57
escorpio_tauro,escorpio,tauro,M,84,98,86,82,87,86
escorpio_geminis,escorpio,géminis,R,60,60,64,64,63,60
escorpio_cancer,escorpio,cáncer,A,88,92,94,88,93,90
escorpio_leo,escorpio,leo,R,69,65,73,73,69,65
escorpio_virgo,escorpio,virgo,A,93,95,98,92,96,97
escorpio_libra,escorpio,libra,R,61,61,65,65,64,61
escorpio_escorpio,escorpio,escorpio,M,72,72,76,70,75,72
escorpio_sagitario,escorpio,sagitario,R,65,65,69,69,68,65
escorpio_capricornio,escorpio,capricornio,A,87,89,92,86,90,91
escorpio_acuario,escorpio,acuario,R,67,63,71,71,67,63
escorpio_piscis,escorpio,piscis,A,94,98,99,94,99,96
sagitario_aries,sagitario,aries,A,91,95,91,97,93,93
sagitario_tauro,sagitario,tauro,R,60,60,64,64,63,64
sagitario_geminis,sagitario,géminis,M,83,91,79,87,83,81
sagitario_cancer,sagitario,cáncer,R,60,60,64,64,63,60
sagitario_leo,sagitario,leo,A,93,97,93,99,95,95
sagitario_virgo,sagitario,virgo,R,64,60,68,68,64,64
sagitario_libra,sagitario,libra,A,93,95,92,98,93,93
sagitario_escorpio,sagitario,escorpio,R,56,56,60,60,59,56
sagitario_sagitario,sagitario,sagitario,M,73,73,71,77,73,73
sagitario_capricornio,sagitario,capricornio,R,59,59,63,63,62,63
sagitario_acuario,sagitario,acuario,A,93,95,92,98,93,93
sagitario_piscis,sagitario,piscis,R,66,62,70,70,66,62
capricornio_aries,capricornio,aries,R,65,61,69,69,65,65
capricornio_tauro,capricornio,tauro,A,87,91,93,87,92,93
capricornio_geminis,capricornio,géminis,R,55,55,59,59,58,59
capricornio_cancer,capricornio,cáncer,M,83,97,85,81,86,85
capricornio_leo,capricornio,leo,R,66,66,70,70,69,70
capricornio_virgo,capricornio,virgo,A,90,94,96,90,95,96
capricornio_libra,capricornio,libra,R,65,61,69,69,65,65
capricornio_escorpio,capricornio,escorpio,A,93,95,98,92,96,97
