Key,EN,ES,DE,FR,IT,PT
about,YES,YES,YES,YES,YES,YES
accentColor,YES,YES,YES,YES,YES,YES
accept,YES,YES,YES,YES,YES,YES
accessUnlimitedHoroscopes,YES,YES,YES,YES,YES,YES
accountAndSubscription,YES,YES,YES,YES,YES,YES
accountBenefitsSubtitle,YES,YES,YES,YES,YES,YES
accountBenefitsTitle,YES,YES,YES,YES,YES,YES
accountSection,YES,YES,YES,YES,YES,YES
accuracy,YES,YES,YES,YES,YES,YES
activatePremium,YES,YES,YES,YES,YES,YES
active,YES,YES,YES,YES,YES,YES
activeSubscription,YES,YES,YES,YES,YES,YES
active_activepredictionslength,YES,YES,YES,YES,YES,YES
add,YES,YES,YES,YES,YES,YES
addBirthDateForPersonalized,YES,YES,YES,YES,YES,YES
addPerson,YES,YES,YES,YES,YES,YES
additionalInfo,YES,YES,YES,YES,YES,YES
advanced,YES,YES,YES,YES,YES,YES
advancedAI,YES,YES,YES,YES,YES,YES
advancedAIInsights,YES,YES,YES,YES,YES,YES
advancedAIInsightsAndAnalysis,YES,YES,YES,YES,YES,YES
advancedMultidimensionalAnalysis,YES,YES,YES,YES,YES,YES
adventure,YES,YES,YES,YES,YES,YES
adventure_Sagittarius,YES,YES,YES,YES,YES,YES
advice,YES,YES,YES,YES,YES,YES
afternoon,YES,YES,YES,YES,YES,YES
age,YES,YES,YES,YES,YES,YES
ageSuffix,YES,YES,YES,YES,YES,YES
aiAnalysisInDevelopment,YES,YES,YES,YES,YES,YES
air,YES,YES,YES,YES,YES,YES
airActivities,YES,YES,YES,YES,YES,YES
airElementAdvice,YES,YES,YES,YES,YES,YES
airElementLowMood,YES,YES,YES,YES,YES,YES
airEnergyCommunicative,YES,YES,YES,YES,YES,YES
airEnergyMental,YES,YES,YES,YES,YES,YES
alert,YES,YES,YES,YES,YES,YES
alertPattern,YES,YES,YES,YES,YES,YES
all,YES,YES,YES,YES,YES,YES
allDataDeletedSuccessfully,YES,YES,YES,YES,YES,YES
allFeaturesUnlocked,YES,YES,YES,YES,YES,YES
alreadyPremium,YES,YES,YES,YES,YES,YES
alreadySubscribed,YES,YES,YES,YES,YES,YES
analyse8D,YES,YES,YES,YES,YES,YES
analyzingCosmicCompatibility,YES,YES,YES,YES,YES,YES
and,YES,YES,YES,YES,YES,YES
animations,YES,YES,YES,YES,YES,YES
anyAdditionalNotesAboutYourBirthDetailsOptional,YES,YES,YES,YES,YES,YES
appDescription,YES,YES,YES,YES,YES,YES
appInfo,YES,YES,YES,YES,YES,YES
appInstructions,YES,YES,YES,YES,YES,YES
appSettings,YES,YES,YES,YES,YES,YES
appTitle,YES,YES,YES,YES,YES,YES
appearance,YES,YES,YES,YES,YES,YES
appleSubscriptionHelp,YES,YES,YES,YES,YES,YES
applocalizationsofcontextpurchaseerrorE,YES,YES,YES,YES,YES,YES
apply,YES,YES,YES,YES,YES,YES
april,YES,YES,YES,YES,YES,YES
aquarius,YES,YES,YES,YES,YES,YES
aquariusDescription,YES,YES,YES,YES,YES,YES
areYouSure,YES,YES,YES,YES,YES,YES
areYouSureYouWantToSignOut,YES,YES,YES,YES,YES,YES
aries,YES,YES,YES,YES,YES,YES
ariesDescription,YES,YES,YES,YES,YES,YES
ascendantAdvice,YES,YES,YES,YES,YES,YES
ascendantError,YES,YES,YES,YES,YES,YES
ascendantHoroscope,YES,YES,YES,YES,YES,YES
ascendantRevealDescription,YES,YES,YES,YES,YES,YES
ascendantSign,YES,YES,YES,YES,YES,YES
ascendantTitle,YES,YES,YES,YES,YES,YES
astrologicalProfile,YES,YES,YES,YES,YES,YES
audioSettings,YES,YES,YES,YES,YES,YES
august,YES,YES,YES,YES,YES,YES
autoSync,YES,YES,YES,YES,YES,YES
autoTheme,YES,YES,YES,YES,YES,YES
automatic,YES,YES,YES,YES,YES,YES
available,YES,YES,YES,YES,YES,YES
availableOnlyForYou,YES,YES,YES,YES,YES,YES
azulVerde,YES,YES,YES,YES,YES,YES
back,YES,YES,YES,YES,YES,YES
backToHome,YES,YES,YES,YES,YES,YES
backgroundColor,YES,YES,YES,YES,YES,YES
backgroundMusic,YES,YES,YES,YES,YES,YES
backupComplete,YES,YES,YES,YES,YES,YES
backupData,YES,YES,YES,YES,YES,YES
backupDataDialog,YES,YES,YES,YES,YES,YES
backupFailed,YES,YES,YES,YES,YES,YES
balancedEnergy,YES,YES,YES,YES,YES,YES
basic,YES,YES,YES,YES,YES,YES
begin,YES,YES,YES,YES,YES,YES
beginner,YES,YES,YES,YES,YES,YES
bell,YES,YES,YES,YES,YES,YES
benefitBackupDescription,YES,YES,YES,YES,YES,YES
benefitBackupTitle,YES,YES,YES,YES,YES,YES
benefitFutureDescription,YES,YES,YES,YES,YES,YES
benefitFutureTitle,YES,YES,YES,YES,YES,YES
benefitPremiumDescription,YES,YES,YES,YES,YES,YES
benefitPremiumTitle,YES,YES,YES,YES,YES,YES
benefitSyncDescription,YES,YES,YES,YES,YES,YES
benefitSyncTitle,YES,YES,YES,YES,YES,YES
bestOffer,YES,YES,YES,YES,YES,YES
bestValue,YES,YES,YES,YES,YES,YES
birthDate,YES,YES,YES,YES,YES,YES
birthDateAndTimeSaved,YES,YES,YES,YES,YES,YES
birthDateExplanation,YES,YES,YES,YES,YES,YES
birthDateOptional,YES,YES,YES,YES,YES,YES
birthDateSaved,YES,YES,YES,YES,YES,YES
birthDateTitle,YES,YES,YES,YES,YES,YES
birthLocation,YES,YES,YES,YES,YES,YES
birthTime,YES,YES,YES,YES,YES,YES
birthTimeForAscendant,YES,YES,YES,YES,YES,YES
birthTimeSubtitle,YES,YES,YES,YES,YES,YES
birthTimeTitle,YES,YES,YES,YES,YES,YES
bornIn,YES,YES,YES,YES,YES,YES
brightness,YES,YES,YES,YES,YES,YES
bugFixes,YES,YES,YES,YES,YES,YES
businessCompatibility,YES,YES,YES,YES,YES,YES
butYouSelected,YES,YES,YES,YES,YES,YES
buyLifetime,YES,YES,YES,YES,YES,YES
cacheCleared,YES,YES,YES,YES,YES,YES
cachingData,YES,YES,YES,YES,YES,YES
calculateAscendant,YES,YES,YES,YES,YES,YES
calculateCompatibility,YES,YES,YES,YES,YES,YES
calculateYourAscendant,YES,YES,YES,YES,YES,YES
calculatingAscendant,YES,YES,YES,YES,YES,YES
cancel,YES,YES,YES,YES,YES,YES
cancelAnytime,YES,YES,YES,YES,YES,YES
cancelled,YES,YES,YES,YES,YES,YES
cancer,YES,YES,YES,YES,YES,YES
cancerDescription,YES,YES,YES,YES,YES,YES
capricorn,YES,YES,YES,YES,YES,YES
capricornDescription,YES,YES,YES,YES,YES,YES
card,YES,YES,YES,YES,YES,YES
cardinal,YES,YES,YES,YES,YES,YES
cardinalActivities,YES,YES,YES,YES,YES,YES
cardinalEnergyAdvice,YES,YES,YES,YES,YES,YES
cardinalModalityHigh,YES,YES,YES,YES,YES,YES
career,YES,YES,YES,YES,YES,YES
careerPath,YES,YES,YES,YES,YES,YES
career_Capricorn,YES,YES,YES,YES,YES,YES
celebration_adventure_1,YES,YES,YES,YES,YES,YES
celebration_adventure_2,YES,YES,YES,YES,YES,YES
celebration_adventure_3,YES,YES,YES,YES,YES,YES
celebration_career_1,YES,YES,YES,YES,YES,YES
celebration_career_2,YES,YES,YES,YES,YES,YES
celebration_career_3,YES,YES,YES,YES,YES,YES
celebration_creativity_1,YES,YES,YES,YES,YES,YES
celebration_creativity_2,YES,YES,YES,YES,YES,YES
celebration_creativity_3,YES,YES,YES,YES,YES,YES
celebration_finance_1,YES,YES,YES,YES,YES,YES
celebration_finance_2,YES,YES,YES,YES,YES,YES
celebration_finance_3,YES,YES,YES,YES,YES,YES
celebration_fitness_1,YES,YES,YES,YES,YES,YES
celebration_fitness_2,YES,YES,YES,YES,YES,YES
celebration_fitness_3,YES,YES,YES,YES,YES,YES
celebration_growth_1,YES,YES,YES,YES,YES,YES
celebration_growth_2,YES,YES,YES,YES,YES,YES
celebration_growth_3,YES,YES,YES,YES,YES,YES
celebration_healing_1,YES,YES,YES,YES,YES,YES
celebration_healing_2,YES,YES,YES,YES,YES,YES
celebration_healing_3,YES,YES,YES,YES,YES,YES
celebration_leadership_1,YES,YES,YES,YES,YES,YES
celebration_leadership_2,YES,YES,YES,YES,YES,YES
celebration_leadership_3,YES,YES,YES,YES,YES,YES
celebration_learning_1,YES,YES,YES,YES,YES,YES
celebration_learning_2,YES,YES,YES,YES,YES,YES
celebration_learning_3,YES,YES,YES,YES,YES,YES
celebration_mindfulness_1,YES,YES,YES,YES,YES,YES
celebration_mindfulness_2,YES,YES,YES,YES,YES,YES
celebration_mindfulness_3,YES,YES,YES,YES,YES,YES
celebration_nature_1,YES,YES,YES,YES,YES,YES
celebration_nature_2,YES,YES,YES,YES,YES,YES
celebration_nature_3,YES,YES,YES,YES,YES,YES
celebration_relationships_1,YES,YES,YES,YES,YES,YES
celebration_relationships_2,YES,YES,YES,YES,YES,YES
celebration_relationships_3,YES,YES,YES,YES,YES,YES
celebration_service_1,YES,YES,YES,YES,YES,YES
celebration_service_2,YES,YES,YES,YES,YES,YES
celebration_service_3,YES,YES,YES,YES,YES,YES
celebration_wellness_1,YES,YES,YES,YES,YES,YES
celebration_wellness_2,YES,YES,YES,YES,YES,YES
celebration_wellness_3,YES,YES,YES,YES,YES,YES
challenges,YES,YES,YES,YES,YES,YES
challengesToConsider,YES,YES,YES,YES,YES,YES
challenging,YES,YES,YES,YES,YES,YES
changeAppAppearance,YES,YES,YES,YES,YES,YES
changeDate,YES,YES,YES,YES,YES,YES
changePassword,YES,YES,YES,YES,YES,YES
changeSign,YES,YES,YES,YES,YES,YES
changeTime,YES,YES,YES,YES,YES,YES
checkCompatibility,YES,YES,YES,YES,YES,YES
checkConnection,YES,YES,YES,YES,YES,YES
checkForUpdates,YES,YES,YES,YES,YES,YES
chime,YES,YES,YES,YES,YES,YES
chooseNotificationSound,YES,YES,YES,YES,YES,YES
chooseSound,YES,YES,YES,YES,YES,YES
chooseVibration,YES,YES,YES,YES,YES,YES
chooseVibrationPattern,YES,YES,YES,YES,YES,YES
chooseYourPlan,YES,YES,YES,YES,YES,YES
cleanupComplete,YES,YES,YES,YES,YES,YES
cleanupData,YES,YES,YES,YES,YES,YES
clear,YES,YES,YES,YES,YES,YES
clearCache,YES,YES,YES,YES,YES,YES
clearData,YES,YES,YES,YES,YES,YES
clearDataDialog,YES,YES,YES,YES,YES,YES
close,YES,YES,YES,YES,YES,YES
colorPalette,YES,YES,YES,YES,YES,YES
colorTheme,YES,YES,YES,YES,YES,YES
comingSoon,YES,YES,YES,YES,YES,YES
coming_soon,YES,YES,YES,YES,YES,YES
commonIssues,YES,YES,YES,YES,YES,YES
compatibility,YES,YES,YES,YES,YES,YES
compatibilityAdvice,YES,YES,YES,YES,YES,YES
compatibilityAnalysis,YES,YES,YES,YES,YES,YES
compatibilityChallenge1,YES,YES,YES,YES,YES,YES
